C,SETP.WORLD,DVD_ROOFTOP_PV_ACTUAL,AEMO,PUBLIC,2020/05/07,03:00:12,0000000322582964,DEMAND,0000000322582795
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2020/04/01 00:30:00",NSW1,0,1,MEASUREMENT,"2020/04/01 00:50:36"
D,ROOFTOP,ACTUAL,2,"2020/04/01 00:30:00",NSW1,0,0.6,SATELLITE,"2020/04/01 00:50:23"
D,ROOFTOP,ACTUAL,2,"2020/04/01 00:30:00",QLD1,0,0.6,SATELLITE,"2020/04/01 00:50:23"
D,ROOFTOP,ACTUAL,2,"2020/04/01 00:30:00",QLD1,0,1,MEASUREMENT,"2020/04/01 00:50:36"
D,ROOFTOP,ACTUAL,2,"2020/04/01 00:30:00",QLDC,0,0.6,SATELLITE,"2020/04/01 00:50:23"
D,ROOFTOP,ACTUAL,2,"2020/04/01 00:30:00",QLDC,0,1,MEASUREMENT,"2020/04/01 00:50:36"
D,ROOFTOP,ACTUAL,2,"2020/04/01 00:30:00",QLDN,0,0.6,SATELLITE,"2020/04/01 00:50:23"
D,ROOFTOP,ACTUAL,2,"2020/04/01 00:30:00",QLDN,0,1,MEASUREMENT,"2020/04/01 00:50:36"
D,ROOFTOP,ACTUAL,2,"2020/04/01 00:30:00",QLDS,0,1,MEASUREMENT,"2020/04/01 00:50:36"
D,ROOFTOP,ACTUAL,2,"2020/04/01 00:30:00",QLDS,0,0.6,SATELLITE,"2020/04/01 00:50:24"
D,ROOFTOP,ACTUAL,2,"2020/04/01 00:30:00",SA1,0,0.6,SATELLITE,"2020/04/01 00:50:24"
D,ROOFTOP,ACTUAL,2,"2020/04/01 00:30:00",SA1,0,1,MEASUREMENT,"2020/04/01 00:50:36"
D,ROOFTOP,ACTUAL,2,"2020/04/01 00:30:00",TAS1,0,0.6,SATELLITE,"2020/04/01 00:50:24"
D,ROOFTOP,ACTUAL,2,"2020/04/01 00:30:00",TAS1,0,1,MEASUREMENT,"2020/04/01 00:50:36"
D,ROOFTOP,ACTUAL,2,"2020/04/01 00:30:00",TASN,0,0.6,SATELLITE,"2020/04/01 00:50:24"
D,ROOFTOP,ACTUAL,2,"2020/04/01 00:30:00",TASN,0,1,MEASUREMENT,"2020/04/01 00:50:36"
D,ROOFTOP,ACTUAL,2,"2020/04/01 00:30:00",TASS,0,1,MEASUREMENT,"2020/04/01 00:50:36"
D,ROOFTOP,ACTUAL,2,"2020/04/01 00:30:00",TASS,0,0.6,SATELLITE,"2020/04/01 00:50:24"
D,ROOFTOP,ACTUAL,2,"2020/04/01 00:30:00",VIC1,0,0.6,SATELLITE,"2020/04/01 00:50:24"
D,ROOFTOP,ACTUAL,2,"2020/04/01 00:30:00",VIC1,0,1,MEASUREMENT,"2020/04/01 00:50:36"
D,ROOFTOP,ACTUAL,2,"2020/04/01 01:00:00",NSW1,0,1,MEASUREMENT,"2020/04/01 01:20:44"
D,ROOFTOP,ACTUAL,2,"2020/04/01 01:00:00",NSW1,0,0.6,SATELLITE,"2020/04/01 01:20:24"
D,ROOFTOP,ACTUAL,2,"2020/04/01 01:00:00",QLD1,0,0.6,SATELLITE,"2020/04/01 01:20:24"
D,ROOFTOP,ACTUAL,2,"2020/04/01 01:00:00",QLD1,0,1,MEASUREMENT,"2020/04/01 01:20:44"
