C,SETP.WORLD,DVD_ROOFTOP_PV_ACTUAL,AEMO,PUBLIC,2019/10/18,09:55:02,0000000314178196,DEMAND,0000000314178130
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2019/05/01 00:30:00",NSW1,0,1,MEASUREMENT,"2019/05/01 00:49:49"
D,ROOFTOP,ACTUAL,2,"2019/05/01 00:30:00",NSW1,0,1,DAILY,"2019/05/01 23:30:35"
D,ROOFTOP,ACTUAL,2,"2019/05/01 00:30:00",NSW1,0,0.6,SATELLITE,"2019/05/01 00:50:31"
D,ROOFTOP,ACTUAL,2,"2019/05/01 00:30:00",QLD1,0,1,MEASUREMENT,"2019/05/01 00:49:49"
D,ROOFTOP,ACTUAL,2,"2019/05/01 00:30:00",QLD1,0,1,DAILY,"2019/05/01 23:30:35"
D,ROOFTOP,ACTUAL,2,"2019/05/01 00:30:00",QLD1,0,0.6,SATELLITE,"2019/05/01 00:50:31"
D,ROOFTOP,ACTUAL,2,"2019/05/01 00:30:00",QLDC,0,0.6,SATELLITE,"2019/05/01 00:50:31"
D,ROOFTOP,ACTUAL,2,"2019/05/01 00:30:00",QLDC,0,1,MEASUREMENT,"2019/05/01 00:49:49"
D,ROOFTOP,ACTUAL,2,"2019/05/01 00:30:00",QLDN,0,1,MEASUREMENT,"2019/05/01 00:49:49"
D,ROOFTOP,ACTUAL,2,"2019/05/01 00:30:00",QLDN,0,0.6,SATELLITE,"2019/05/01 00:50:31"
D,ROOFTOP,ACTUAL,2,"2019/05/01 00:30:00",QLDS,0,0.6,SATELLITE,"2019/05/01 00:50:31"
D,ROOFTOP,ACTUAL,2,"2019/05/01 00:30:00",QLDS,0,1,MEASUREMENT,"2019/05/01 00:49:49"
D,ROOFTOP,ACTUAL,2,"2019/05/01 00:30:00",SA1,0,1,DAILY,"2019/05/01 23:30:35"
D,ROOFTOP,ACTUAL,2,"2019/05/01 00:30:00",SA1,0,1,MEASUREMENT,"2019/05/01 00:49:49"
