C,SETP.WORLD,DVD_ROOFTOP_PV_ACTUAL,AEMO,PUBLIC,2019/10/18,09:15:04,0000000314178144,DEMAND,0000000314178130
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2017/03/01 00:30:00",NSW1,0,1,DAILY,"2017/03/01 23:30:24"
D,ROOFTOP,ACTUAL,2,"2017/03/01 00:30:00",QLD1,0,1,DAILY,"2017/03/01 23:30:24"
D,ROOFTOP,ACTUAL,2,"2017/03/01 00:30:00",SA1,0,1,DAILY,"2017/03/01 23:30:24"
D,ROOFTOP,ACTUAL,2,"2017/03/01 00:30:00",TAS1,0,1,DAILY,"2017/03/01 23:30:24"
D,ROOFTOP,ACTUAL,2,"2017/03/01 00:30:00",VIC1,0,1,DAILY,"2017/03/01 23:30:24"
D,ROOFTOP,ACTUAL,2,"2017/03/01 01:00:00",NSW1,0,1,DAILY,"2017/03/01 23:30:24"
D,ROOFTOP,ACTUAL,2,"2017/03/01 01:00:00",QLD1,0,1,DAILY,"2017/03/01 23:30:24"
D,ROOFTOP,ACTUAL,2,"2017/03/01 01:00:00",SA1,0,1,DAILY,"2017/03/01 23:30:24"
D,ROOFTOP,ACTUAL,2,"2017/03/01 01:00:00",TAS1,0,1,DAILY,"2017/03/01 23:30:24"
D,ROOFTOP,ACTUAL,2,"2017/03/01 01:00:00",VIC1,0,1,DAILY,"2017/03/01 23:30:24"
D,ROOFTOP,ACTUAL,2,"2017/03/01 01:30:00",NSW1,0,1,DAILY,"2017/03/01 23:30:24"
D,ROOFTOP,ACTUAL,2,"2017/03/01 01:30:00",QLD1,0,1,DAILY,"2017/03/01 23:30:24"
D,ROOFTOP,ACTUAL,2,"2017/03/01 01:30:00",SA1,0,1,DAILY,"2017/03/01 23:30:24"
D,ROOFTOP,ACTUAL,2,"2017/03/01 01:30:00",TAS1,0,1,DAILY,"2017/03/01 23:30:24"
D,ROOFTOP,ACTUAL,2,"2017/03/01 01:30:00",VIC1,0,1,DAILY,"2017/03/01 23:30:24"
D,ROOFTOP,ACTUAL,2,"2017/03/01 02:00:00",NSW1,0,1,DAILY,"2017/03/01 23:30:24"
D,ROOFTOP,ACTUAL,2,"2017/03/01 02:00:00",QLD1,0,1,DAILY,"2017/03/01 23:30:24"
D,ROOFTOP,ACTUAL,2,"2017/03/01 02:00:00",SA1,0,1,DAILY,"2017/03/01 23:30:24"
D,ROOFTOP,ACTUAL,2,"2017/03/01 02:00:00",TAS1,0,1,DAILY,"2017/03/01 23:30:24"
D,ROOFTOP,ACTUAL,2,"2017/03/01 02:00:00",VIC1,0,1,DAILY,"2017/03/01 23:30:24"
D,ROOFTOP,ACTUAL,2,"2017/03/01 02:30:00",NSW1,0,1,DAILY,"2017/03/01 23:30:24"
D,ROOFTOP,ACTUAL,2,"2017/03/01 02:30:00",QLD1,0,1,DAILY,"2017/03/01 23:30:24"
D,ROOFTOP,ACTUAL,2,"2017/03/01 02:30:00",SA1,0,1,DAILY,"2017/03/01 23:30:24"
D,ROOFTOP,ACTUAL,2,"2017/03/01 02:30:00",TAS1,0,1,DAILY,"2017/03/01 23:30:24"
D,ROOFTOP,ACTUAL,2,"2017/03/01 02:30:00",VIC1,0,1,DAILY,"2017/03/01 23:30:24"
D,ROOFTOP,ACTUAL,2,"2017/03/01 03:00:00",NSW1,0,1,DAILY,"2017/03/01 23:30:24"
D,ROOFTOP,ACTUAL,2,"2017/03/01 03:00:00",QLD1,0,1,DAILY,"2017/03/01 23:30:24"
D,ROOFTOP,ACTUAL,2,"2017/03/01 03:00:00",SA1,0,1,DAILY,"2017/03/01 23:30:24"
D,ROOFTOP,ACTUAL,2,"2017/03/01 03:00:00",TAS1,0,1,DAILY,"2017/03/01 23:30:24"
D,ROOFTOP,ACTUAL,2,"2017/03/01 03:00:00",VIC1,0,1,DAILY,"2017/03/01 23:30:24"
D,ROOFTOP,ACTUAL,2,"2017/03/01 03:30:00",NSW1,0,1,DAILY,"2017/03/01 23:30:24"
D,ROOFTOP,ACTUAL,2,"2017/03/01 03:30:00",QLD1,0,1,DAILY,"2017/03/01 23:30:24"
D,ROOFTOP,ACTUAL,2,"2017/03/01 03:30:00",SA1,0,1,DAILY,"2017/03/01 23:30:24"
D,ROOFTOP,ACTUAL,2,"2017/03/01 03:30:00",TAS1,0,1,DAILY,"2017/03/01 23:30:24"
D,ROOFTOP,ACTUAL,2,"2017/03/01 03:30:00",VIC1,0,1,DAILY,"2017/03/01 23:30:24"
D,ROOFTOP,ACTUAL,2,"2017/03/01 04:00:00",NSW1,0,1,DAILY,"2017/03/01 23:30:24"
D,ROOFTOP,ACTUAL,2,"2017/03/01 04:00:00",QLD1,0,1,DAILY,"2017/03/01 23:30:24"
D,ROOFTOP,ACTUAL,2,"2017/03/01 04:00:00",SA1,0,1,DAILY,"2017/03/01 23:30:24"
D,ROOFTOP,ACTUAL,2,"2017/03/01 04:00:00",TAS1,0,1,DAILY,"2017/03/01 23:30:24"
D,ROOFTOP,ACTUAL,2,"2017/03/01 04:00:00",VIC1,0,1,DAILY,"2017/03/01 23:30:24"
D,ROOFTOP,ACTUAL,2,"2017/03/01 04:30:00",NSW1,0,1,DAILY,"2017/03/01 23:30:24"
D,ROOFTOP,ACTUAL,2,"2017/03/01 04:30:00",QLD1,0,1,DAILY,"2017/03/01 23:30:24"
D,ROOFTOP,ACTUAL,2,"2017/03/01 04:30:00",SA1,0,1,DAILY,"2017/03/01 23:30:24"
D,ROOFTOP,ACTUAL,2,"2017/03/01 04:30:00",TAS1,0,1,DAILY,"2017/03/01 23:30:24"
D,ROOFTOP,ACTUAL,2,"2017/03/01 04:30:00",VIC1,0,1,DAILY,"2017/03/01 23:30:24"
D,ROOFTOP,ACTUAL,2,"2017/03/01 05:00:00",NSW1,0,1,DAILY,"2017/03/01 23:30:24"
D,ROOFTOP,ACTUAL,2,"2017/03/01 05:00:00",QLD1,0,1,DAILY,"2017/03/01 23:30:24"
D,ROOFTOP,ACTUAL,2,"2017/03/01 05:00:00",SA1,0,1,DAILY,"2017/03/01 23:30:24"
D,ROOFTOP,ACTUAL,2,"2017/03/01 05:00:00",TAS1,0,1,DAILY,"2017/03/01 23:30:24"
D,ROOFTOP,ACTUAL,2,"2017/03/01 05:00:00",VIC1,0,1,DAILY,"2017/03/01 23:30:24"
