C,SETP.WORLD,DVD_ROOFTOP_PV_ACTUAL,AEMO,PUBLIC,2019/10/18,09:40:02,0000000314178180,DEMAND,0000000314178130
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2018/09/01 00:30:00",NSW1,0,1,MEASUREMENT,"2018/09/01 00:49:48"
D,ROOFTOP,ACTUAL,2,"2018/09/01 00:30:00",NSW1,0,1,DAILY,"2018/09/01 23:30:40"
D,ROOFTOP,ACTUAL,2,"2018/09/01 00:30:00",NSW1,0,0.6,SATELLITE,"2018/09/01 00:50:28"
D,ROOFTOP,ACTUAL,2,"2018/09/01 00:30:00",QLD1,0,1,MEASUREMENT,"2018/09/01 00:49:48"
D,ROOFTOP,ACTUAL,2,"2018/09/01 00:30:00",QLD1,0,1,DAILY,"2018/09/01 23:30:40"
D,ROOFTOP,ACTUAL,2,"2018/09/01 00:30:00",QLD1,0,0.6,SATELLITE,"2018/09/01 00:50:28"
D,ROOFTOP,ACTUAL,2,"2018/09/01 00:30:00",QLDC,0,0.6,SATELLITE,"2018/09/01 00:50:28"
D,ROOFTOP,ACTUAL,2,"2018/09/01 00:30:00",QLDC,0,1,MEASUREMENT,"2018/09/01 00:49:48"
D,ROOFTOP,ACTUAL,2,"2018/09/01 00:30:00",QLDN,0,1,MEASUREMENT,"2018/09/01 00:49:48"
D,ROOFTOP,ACTUAL,2,"2018/09/01 00:30:00",QLDN,0,0.6,SATELLITE,"2018/09/01 00:50:28"
D,ROOFTOP,ACTUAL,2,"2018/09/01 00:30:00",QLDS,0,0.6,SATELLITE,"2018/09/01 00:50:28"
D,ROOFTOP,ACTUAL,2,"2018/09/01 00:30:00",QLDS,0,1,MEASUREMENT,"2018/09/01 00:49:48"
D,ROOFTOP,ACTUAL,2,"2018/09/01 00:30:00",SA1,0,1,DAILY,"2018/09/01 23:30:40"
D,ROOFTOP,ACTUAL,2,"2018/09/01 00:30:00",SA1,0,1,MEASUREMENT,"2018/09/01 00:49:48"
D,ROOFTOP,ACTUAL,2,"2018/09/01 00:30:00",SA1,0,0.6,SATELLITE,"2018/09/01 00:50:28"
D,ROOFTOP,ACTUAL,2,"2018/09/01 00:30:00",TAS1,0,1,DAILY,"2018/09/01 23:30:40"
D,ROOFTOP,ACTUAL,2,"2018/09/01 00:30:00",TAS1,0,1,MEASUREMENT,"2018/09/01 00:49:48"
D,ROOFTOP,ACTUAL,2,"2018/09/01 00:30:00",TAS1,0,0.6,SATELLITE,"2018/09/01 00:50:28"
D,ROOFTOP,ACTUAL,2,"2018/09/01 00:30:00",TASN,0,1,MEASUREMENT,"2018/09/01 00:49:48"
D,ROOFTOP,ACTUAL,2,"2018/09/01 00:30:00",TASN,0,0.6,SATELLITE,"2018/09/01 00:50:28"
D,ROOFTOP,ACTUAL,2,"2018/09/01 00:30:00",TASS,0,1,MEASUREMENT,"2018/09/01 00:49:48"
D,ROOFTOP,ACTUAL,2,"2018/09/01 00:30:00",TASS,0,0.6,SATELLITE,"2018/09/01 00:50:28"
D,ROOFTOP,ACTUAL,2,"2018/09/01 00:30:00",VIC1,0,0.6,SATELLITE,"2018/09/01 00:50:28"
D,ROOFTOP,ACTUAL,2,"2018/09/01 00:30:00",VIC1,0,1,DAILY,"2018/09/01 23:30:40"
D,ROOFTOP,ACTUAL,2,"2018/09/01 00:30:00",VIC1,0,1,MEASUREMENT,"2018/09/01 00:49:48"
D,ROOFTOP,ACTUAL,2,"2018/09/01 01:00:00",NSW1,0,1,DAILY,"2018/09/01 23:30:40"
D,ROOFTOP,ACTUAL,2,"2018/09/01 01:00:00",NSW1,0,0.6,SATELLITE,"2018/09/01 01:20:32"
D,ROOFTOP,ACTUAL,2,"2018/09/01 01:00:00",NSW1,0,1,MEASUREMENT,"2018/09/01 01:19:53"
D,ROOFTOP,ACTUAL,2,"2018/09/01 01:00:00",QLD1,0,1,MEASUREMENT,"2018/09/01 01:19:53"
