C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/02/20,20:00:02,0000000411632967,DEMAND,0000000411632966
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/02/20 19:30:00",NSW1,0,0.6,SATELLITE,"2024/02/20 19:50:24"
D,ROOFTOP,ACTUAL,2,"2024/02/20 19:30:00",QLD1,0,0.6,SATELLITE,"2024/02/20 19:50:24"
D,ROOFTOP,ACTUAL,2,"2024/02/20 19:30:00",QLDC,0,0.6,SATELLITE,"2024/02/20 19:50:24"
D,ROOFTOP,ACTUAL,2,"2024/02/20 19:30:00",QLDN,0,0.6,SATELLITE,"2024/02/20 19:50:24"
D,ROOFTOP,ACTUAL,2,"2024/02/20 19:30:00",QLDS,0,0.6,SATELLITE,"2024/02/20 19:50:24"
D,ROOFTOP,ACTUAL,2,"2024/02/20 19:30:00",SA1,27.762,0.6,SATELLITE,"2024/02/20 19:50:24"
D,ROOFTOP,ACTUAL,2,"2024/02/20 19:30:00",TAS1,0.021,0.6,SATELLITE,"2024/02/20 19:50:24"
D,ROOFTOP,ACTUAL,2,"2024/02/20 19:30:00",TASN,0.021,0.6,SATELLITE,"2024/02/20 19:50:24"
D,ROOFTOP,ACTUAL,2,"2024/02/20 19:30:00",TASS,0,0.6,SATELLITE,"2024/02/20 19:50:24"
D,ROOFTOP,ACTUAL,2,"2024/02/20 19:30:00",VIC1,1.687,0.6,SATELLITE,"2024/02/20 19:50:24"
C,"END OF REPORT",13
