C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_MEASUREMENT,AEMO,PUBLIC,2023/08/12,00:30:02,0000000394350646,DEMAND,0000000394350646
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/08/12 00:00:00",NSW1,0,1,MEASUREMENT,"2023/08/12 00:19:09"
D,ROOFTOP,ACTUAL,2,"2023/08/12 00:00:00",QLD1,0,1,MEASUREMENT,"2023/08/12 00:19:09"
D,ROOFTOP,ACTUAL,2,"2023/08/12 00:00:00",QLDC,0,1,MEASUREMENT,"2023/08/12 00:19:09"
D,ROOFTOP,ACTUAL,2,"2023/08/12 00:00:00",QLDN,0,1,MEASUREMENT,"2023/08/12 00:19:09"
D,ROOFTOP,ACTUAL,2,"2023/08/12 00:00:00",QLDS,0,1,MEASUREMENT,"2023/08/12 00:19:09"
D,ROOFTOP,ACTUAL,2,"2023/08/12 00:00:00",SA1,0,1,MEASUREMENT,"2023/08/12 00:19:09"
D,ROOFTOP,ACTUAL,2,"2023/08/12 00:00:00",TAS1,0,1,MEASUREMENT,"2023/08/12 00:19:09"
D,ROOFTOP,ACTUAL,2,"2023/08/12 00:00:00",TASN,0,1,MEASUREMENT,"2023/08/12 00:19:10"
D,ROOFTOP,ACTUAL,2,"2023/08/12 00:00:00",TASS,0,1,MEASUREMENT,"2023/08/12 00:19:10"
D,ROOFTOP,ACTUAL,2,"2023/08/12 00:00:00",VIC1,0,1,MEASUREMENT,"2023/08/12 00:19:10"
C,"END OF REPORT",13
