C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2023/09/06,06:30:02,0000000396453400,DEMAND,0000000396453399
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/09/06 06:00:00",NSW1,2.479,0.6,SATELLITE,"2023/09/06 06:20:25"
D,ROOFTOP,ACTUAL,2,"2023/09/06 06:00:00",QLD1,8.384,0.6,SATELLITE,"2023/09/06 06:20:25"
D,ROOFTOP,ACTUAL,2,"2023/09/06 06:00:00",QLDC,0.934,0.6,SATELLITE,"2023/09/06 06:20:25"
D,ROOFTOP,ACTUAL,2,"2023/09/06 06:00:00",QLDN,0,0.6,SATELLITE,"2023/09/06 06:20:25"
D,ROOFTOP,ACTUAL,2,"2023/09/06 06:00:00",QLDS,7.45,0.6,SATELLITE,"2023/09/06 06:20:25"
D,ROOFTOP,ACTUAL,2,"2023/09/06 06:00:00",SA1,0,0.6,SATELLITE,"2023/09/06 06:20:25"
D,ROOFTOP,ACTUAL,2,"2023/09/06 06:00:00",TAS1,0,0.6,SATELLITE,"2023/09/06 06:20:25"
D,ROOFTOP,ACTUAL,2,"2023/09/06 06:00:00",TASN,0,0.6,SATELLITE,"2023/09/06 06:20:25"
D,ROOFTOP,ACTUAL,2,"2023/09/06 06:00:00",TASS,0,0.6,SATELLITE,"2023/09/06 06:20:25"
D,ROOFTOP,ACTUAL,2,"2023/09/06 06:00:00",VIC1,0,0.6,SATELLITE,"2023/09/06 06:20:25"
C,"END OF REPORT",13
