C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_MEASUREMENT,AEMO,PUBLIC,2023/09/13,20:00:02,0000000397088805,DEMAND,0000000397088805
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/09/13 19:30:00",NSW1,0,1,MEASUREMENT,"2023/09/13 19:49:10"
D,ROOFTOP,ACTUAL,2,"2023/09/13 19:30:00",QLD1,0,1,MEASUREMENT,"2023/09/13 19:49:10"
D,ROOFTOP,ACTUAL,2,"2023/09/13 19:30:00",QLDC,0,1,MEASUREMENT,"2023/09/13 19:49:10"
D,ROOFTOP,ACTUAL,2,"2023/09/13 19:30:00",QLDN,0,1,MEASUREMENT,"2023/09/13 19:49:10"
D,ROOFTOP,ACTUAL,2,"2023/09/13 19:30:00",QLDS,0,1,MEASUREMENT,"2023/09/13 19:49:10"
D,ROOFTOP,ACTUAL,2,"2023/09/13 19:30:00",SA1,0,1,MEASUREMENT,"2023/09/13 19:49:10"
D,ROOFTOP,ACTUAL,2,"2023/09/13 19:30:00",TAS1,0,1,MEASUREMENT,"2023/09/13 19:49:10"
D,ROOFTOP,ACTUAL,2,"2023/09/13 19:30:00",TASN,0,1,MEASUREMENT,"2023/09/13 19:49:10"
D,ROOFTOP,ACTUAL,2,"2023/09/13 19:30:00",TASS,0,1,MEASUREMENT,"2023/09/13 19:49:10"
D,ROOFTOP,ACTUAL,2,"2023/09/13 19:30:00",VIC1,0,1,MEASUREMENT,"2023/09/13 19:49:10"
C,"END OF REPORT",13
