C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2023/07/01,23:00:01,0000000390936075,DEMAND,0000000390936074
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/07/01 22:30:00",NSW1,0,0.6,SATELLITE,"2023/07/01 22:50:24"
D,ROOFTOP,ACTUAL,2,"2023/07/01 22:30:00",QLD1,0,0.6,SATELLITE,"2023/07/01 22:50:24"
D,ROOFTOP,ACTUAL,2,"2023/07/01 22:30:00",QLDC,0,0.6,SATELLITE,"2023/07/01 22:50:24"
D,ROOFTOP,ACTUAL,2,"2023/07/01 22:30:00",QLDN,0,0.6,SATELLITE,"2023/07/01 22:50:24"
D,ROOFTOP,ACTUAL,2,"2023/07/01 22:30:00",QLDS,0,0.6,SATELLITE,"2023/07/01 22:50:25"
D,ROOFTOP,ACTUAL,2,"2023/07/01 22:30:00",SA1,0,0.6,SATELLITE,"2023/07/01 22:50:25"
D,ROOFTOP,ACTUAL,2,"2023/07/01 22:30:00",TAS1,0,0.6,SATELLITE,"2023/07/01 22:50:25"
D,ROOFTOP,ACTUAL,2,"2023/07/01 22:30:00",TASN,0,0.6,SATELLITE,"2023/07/01 22:50:25"
D,ROOFTOP,ACTUAL,2,"2023/07/01 22:30:00",TASS,0,0.6,SATELLITE,"2023/07/01 22:50:25"
D,ROOFTOP,ACTUAL,2,"2023/07/01 22:30:00",VIC1,0,0.6,SATELLITE,"2023/07/01 22:50:25"
C,"END OF REPORT",13
